scenario,seed,sensor,alpha,target_expert,drift_reliability,drift_modulation_factor,coord_threshold_v75,coord_threshold_v73,single_action,reliability_spike,reliability_drift,reliability_flat,reliability_dropout,coef_v75_spike,coef_v75_drift,coef_v75_flat,coef_v75_dropout
high,999,sensor_506_multivar_labeled,0.6,drift,0.4082676115038391,0.7633070446015356,0.825,0.825,flat_std_w36,0.8315745777081145,0.4082676115038391,0.1887928777166797,0.965210155788338,3.20391174666794,1.7965693864110188,4.1152953715850416,-0.8983337344280959
high,999,sensor_507_multivar_labeled,0.6,drift,0.1712781954887218,0.6685112781954887,0.9,0.9,low_range_w24,0.817714491520976,0.1712781954887218,0.1968421052631579,0.1959398496240601,2.184712563782678,2.365390258851625,2.4110396562437897,0.4289276183429462
high,999,sensor_508_multivar_labeled,0.6,drift,0.1998160073597056,0.6799264029438823,0.95,0.95,flat_std_w18,0.8926758023887948,0.1998160073597056,0.1930394431554524,0.1927300850734725,3.001502272405688,2.1360459972366974,2.810043798319195,1.0442709136382298
high,999,sensor_509_multivar_labeled,0.6,drift,0.4018031914502289,0.7607212765800916,0.875,0.875,flat_std_w36,0.8927335608621201,0.4018031914502289,0.1853772483064704,0.8952502677048373,2.3961658976238502,2.0030107951922536,3.2914910935726773,0.3151493026737036
high,999,sensor_510_multivar_labeled,0.6,drift,0.4031827745762673,0.7612731098305069,0.625,0.625,flat_std_w18,0.8230605898494581,0.4031827745762673,0.3852411572938715,0.191201248049922,3.2201504139860644,1.132171277442205,2.0474907099916035,0.6492710677583101
high,999,sensor_511_multivar_labeled,0.6,drift,0.1779009608277901,0.671160384331116,0.9,0.9,flat_std_w18,0.8564877155783485,0.1779009608277901,0.1971175166297117,0.1954915003695491,3.021704602726867,0.5171384902508571,1.4545734832907382,2.286714994435792
low,123,sensor_501_multivar_labeled,0.6,drift,0.187274290627687,0.6749097162510748,0.3,0.3,low_range_w24,0.2,0.187274290627687,0.177719298245614,0.1767841788478074,1.654336715757806,2.3863190604070024,0.4241735575618055,2.867369840130289
low,123,sensor_502_multivar_labeled,0.6,drift,0.1835003855050115,0.6734001542020046,0.9,0.85,dropout_w12,0.9356014327789236,0.1835003855050115,0.1957547169811321,0.1873554356206631,1.8243286417831224,1.7336981873386972,-3.609435952001815,4.038477902540375
low,123,sensor_505_multivar_labeled,0.6,drift,0.1991769547325103,0.6796707818930041,0.875,0.875,flat_std_w18,0.7784027461513456,0.1991769547325103,0.1721000758150113,0.4335201362863957,3.23281208394281,-0.3972897744826347,1.156262319069326,1.197683949276576
low,123,sensor_506_multivar_labeled,0.6,drift,0.3906509508037462,0.7562603803214984,0.825,0.85,flat_std_w18,0.7248549809363668,0.3906509508037462,0.7185758147065027,0.7783261158748909,2.066082360204436,1.4674990600596665,0.2556487751821621,2.2455420880685963
