scenario,seed,sensor,ablation,tp,tn,fp,fn,accuracy,precision,recall,f1,fpr,fnr,specificity,balanced_accuracy,mcc,reward
high,777,sensor_507_multivar_labeled,without_drift,91,1558,43,305,0.8257386079118678,0.6791044776119403,0.2297979797979798,0.3433962264150944,0.0268582136164896,0.7702020202020202,0.9731417863835105,0.6014698830907451,0.3234086175608174,0.3226475461063285
high,777,sensor_507_multivar_labeled,without_flat,124,1494,107,272,0.8102153229844767,0.5367965367965368,0.3131313131313131,0.3955342902711324,0.0668332292317301,0.6868686868686869,0.9331667707682698,0.6231490419497915,0.3070456525297027,0.345765982157711
high,777,sensor_507_multivar_labeled,without_dropout,87,1563,38,309,0.8262393590385578,0.696,0.2196969696969697,0.3339731285988483,0.023735165521549,0.7803030303030303,0.9762648344784508,0.5979809020877103,0.3225572140923755,0.3182234822264178
high,777,sensor_508_multivar_labeled,full,73,1579,61,228,0.8511076764554354,0.5447761194029851,0.2425249169435216,0.3356321839080459,0.0371951219512195,0.7574750830564784,0.9628048780487805,0.602664897496151,0.2931741467744639,0.3017888635570029
high,777,sensor_508_multivar_labeled,without_spike,65,1621,19,236,0.8686244204018547,0.7738095238095238,0.2159468438538206,0.3376623376623376,0.0115853658536585,0.7840531561461794,0.9884146341463416,0.6021807390000811,0.3635453648985863,0.3316449970902608
high,777,sensor_508_multivar_labeled,without_drift,68,1623,17,233,0.871200412158681,0.8,0.2259136212624584,0.3523316062176166,0.0103658536585365,0.7740863787375415,0.9896341463414634,0.607773883801961,0.3812854671791185,0.3452867238108114
high,777,sensor_508_multivar_labeled,without_flat,98,1455,185,203,0.8001030396702731,0.3462897526501767,0.3255813953488372,0.3356164383561644,0.1128048780487804,0.6744186046511628,0.8871951219512195,0.6063882586500284,0.2182445398329278,0.2893647909575735
high,777,sensor_508_multivar_labeled,without_dropout,77,1574,66,224,0.85059247810407,0.5384615384615384,0.2558139534883721,0.3468468468468468,0.0402439024390243,0.7441860465116279,0.9597560975609756,0.6077850255246738,0.2986969128057108,0.309570107652921
high,777,sensor_509_multivar_labeled,full,2028,6685,3641,491,0.6783184118333982,0.3577350502734168,0.8050813815005955,0.4953590620420127,0.352605074569049,0.1949186184994045,0.647394925430951,0.7262381534657733,0.36181081447227,0.4828357424531919
high,777,sensor_509_multivar_labeled,without_spike,1918,8258,2068,601,0.7922148695990657,0.4811841445057702,0.7614132592298531,0.5897002305918524,0.2002711601781909,0.2385867407701468,0.799728839821809,0.7805710495258311,0.481606121536131,0.5459395871933359
high,777,sensor_509_multivar_labeled,without_drift,1996,7188,3138,523,0.7149863760217984,0.3887806778340475,0.7923779277491068,0.5216255063373841,0.3038930854154561,0.2076220722508932,0.6961069145845439,0.7442424211668253,0.3959569337824503,0.5003726493101164
high,777,sensor_509_multivar_labeled,without_flat,2069,6051,4275,450,0.6321525885558583,0.3261349306431274,0.8213576816196904,0.4668848019857836,0.4140034863451481,0.1786423183803096,0.5859965136548518,0.703677097637271,0.323504754139969,0.464025356341464
high,777,sensor_509_multivar_labeled,without_dropout,2028,6685,3641,491,0.6783184118333982,0.3577350502734168,0.8050813815005955,0.4953590620420127,0.352605074569049,0.1949186184994045,0.647394925430951,0.7262381534657733,0.36181081447227,0.4828357424531919
high,777,sensor_510_multivar_labeled,full,873,8044,572,127,0.9273086522462562,0.6041522491349481,0.873,0.7141104294478527,0.0663881151346332,0.127,0.9336118848653668,0.9033059424326834,0.6890423780983712,0.6672337191083125
high,777,sensor_510_multivar_labeled,without_spike,851,8033,583,149,0.9238768718801996,0.5934449093444909,0.851,0.6992604765817584,0.0676648096564531,0.149,0.9323351903435468,0.8916675951717734,0.6712683471109921,0.6522174698978196
high,777,sensor_510_multivar_labeled,without_drift,871,8048,568,129,0.9275166389351082,0.6052814454482279,0.871,0.7142271422714228,0.0659238625812441,0.129,0.9340761374187558,0.902538068709378,0.6889098646886657,0.66690204458125
high,777,sensor_510_multivar_labeled,without_flat,870,8111,505,130,0.9339642262895176,0.6327272727272727,0.87,0.7326315789473684,0.0586118848653667,0.13,0.9413881151346332,0.9056940575673168,0.7075223787685035,0.67973211294887
high,777,sensor_510_multivar_labeled,without_dropout,938,7913,703,62,0.9204450915141432,0.5716026812918952,0.938,0.7103369935630442,0.0815923862581244,0.062,0.9184076137418756,0.9282038068709376,0.6948862663386463,0.6786328106713417
high,777,sensor_511_multivar_labeled,full,323,3063,41,634,0.8337847820733809,0.8873626373626373,0.3375130616509927,0.4890234670704012,0.0132087628865979,0.6624869383490073,0.986791237113402,0.6621521493821974,0.4818303069699255,0.4530979979927141
high,777,sensor_511_multivar_labeled,without_spike,183,3074,30,774,0.8020192070918493,0.8591549295774648,0.1912225705329153,0.3128205128205128,0.0096649484536082,0.8087774294670846,0.9903350515463918,0.5907788110396536,0.3456399851368021,0.3260427465203642
high,777,sensor_511_multivar_labeled,without_drift,218,3073,31,739,0.8103915291800049,0.8755020080321285,0.2277951933124347,0.3615257048092869,0.0099871134020618,0.7722048066875653,0.9900128865979382,0.6089040399551864,0.3853139141204653,0.3613517150225226
high,777,sensor_511_multivar_labeled,without_flat,194,3078,26,763,0.8057128786013297,0.8818181818181818,0.2027168234064786,0.3296516567544605,0.0083762886597938,0.7972831765935214,0.9916237113402062,0.5971702673733424,0.3643734499285306,0.3405933909681987
high,777,sensor_511_multivar_labeled,without_dropout,310,3074,30,647,0.8332922925387836,0.9117647058823528,0.3239289446185998,0.4780262143407864,0.0096649484536082,0.6760710553814002,0.9903350515463918,0.6571319980824958,0.4815508572487135,0.4480886908759259
high,999,sensor_501_multivar_labeled,full,75,1194,66,410,0.7272206303724928,0.5319148936170213,0.1546391752577319,0.2396166134185303,0.0523809523809523,0.845360824742268,0.9476190476190476,0.5511291114383898,0.168090296984388,0.2287683674201161
high,999,sensor_501_multivar_labeled,without_spike,73,1199,61,412,0.7289398280802293,0.5447761194029851,0.1505154639175257,0.2358642972536348,0.0484126984126984,0.8494845360824742,0.9515873015873016,0.5510513827524136,0.1717882587935354,0.2281687210085713
high,999,sensor_501_multivar_labeled,without_drift,56,1199,61,429,0.7191977077363897,0.4786324786324786,0.1154639175257732,0.186046511627907,0.0484126984126984,0.8845360824742268,0.9515873015873016,0.5335256095565374,0.1200999120131635,0.185313707443892
high,999,sensor_501_multivar_labeled,without_flat,78,1198,62,407,0.7312320916905444,0.5571428571428572,0.1608247422680412,0.2496,0.0492063492063492,0.8391752577319588,0.9507936507936507,0.555809196530846,0.1840731191032633,0.239218216331206
high,999,sensor_501_multivar_labeled,without_dropout,53,1234,26,432,0.7375358166189112,0.6708860759493671,0.1092783505154639,0.1879432624113475,0.0206349206349206,0.8907216494845361,0.9793650793650792,0.5443217149402716,0.1910080406101071,0.2159273925686585
high,999,sensor_502_multivar_labeled,full,17,1747,175,8,0.9060092449922958,0.0885416666666666,0.68,0.1566820276497696,0.09105098855359,0.32,0.90894901144641,0.794474505723205,0.2224002230140647,0.2786830635870373
high,999,sensor_502_multivar_labeled,without_spike,11,1727,195,14,0.8926553672316384,0.0533980582524271,0.44,0.0952380952380952,0.1014568158168574,0.56,0.8985431841831426,0.6692715920915713,0.1239161109758058,0.1727211700133212
high,999,sensor_502_multivar_labeled,without_drift,17,1746,176,8,0.9054956343091936,0.0880829015544041,0.68,0.1559633027522936,0.0915712799167533,0.32,0.9084287200832466,0.7942143600416234,0.2216905131432283,0.2782387934800174
high,999,sensor_502_multivar_labeled,without_flat,17,1665,257,8,0.8638931689779148,0.0620437956204379,0.68,0.1137123745819398,0.1337148803329864,0.32,0.8662851196670135,0.7731425598335068,0.1768653732659744,0.2511056498716399
high,999,sensor_502_multivar_labeled,without_dropout,17,1746,176,8,0.9054956343091936,0.0880829015544041,0.68,0.1559633027522936,0.0915712799167533,0.32,0.9084287200832466,0.7942143600416234,0.2216905131432283,0.2782387934800174
high,999,sensor_505_multivar_labeled,full,91,1806,3,81,0.9575971731448764,0.9680851063829788,0.5290697674418605,0.6842105263157895,0.0016583747927031,0.4709302325581395,0.9983416252072967,0.7637056963245787,0.6985269024130784,0.6116625955528399
high,999,sensor_505_multivar_labeled,without_spike,84,1809,0,88,0.95557799091368,1.0,0.4883720930232558,0.65625,0.0,0.5116279069767442,1.0,0.7441860465116279,0.6824345996146611,0.5918241279069768
high,999,sensor_505_multivar_labeled,without_drift,92,1805,4,80,0.9575971731448764,0.9583333333333334,0.5348837209302325,0.6865671641791045,0.0022111663902708,0.4651162790697674,0.9977888336097293,0.7663362772699809,0.6984776818208592,0.6129492235206397
