scenario,seed,sensor,method,tp,tn,fp,fn,accuracy,precision,recall,f1,fpr,fnr,specificity,balanced_accuracy,mcc,reward,roc_auc,pr_auc,n_events,event_detection_rate,event_precision,mean_detection_delay,median_detection_delay,early_detection_rate
low,42,sensor_509_multivar_labeled,majority,128,12037,304,376,0.9470611132736472,0.2962962962962963,0.2539682539682539,0.2735042735042735,0.024633336034357,0.746031746031746,0.975366663965643,0.6146674589669485,0.2469905729534068,0.2412485101084079,0.6146674589669485,0.1045219433351434,36,0.7777777777777778,0.4590163934426229,3.4285714285714284,0.0,0.75
low,42,sensor_509_multivar_labeled,v73_confidence_hybrid_reference,159,11467,874,345,0.905099260412612,0.153920619554695,0.3154761904761904,0.2068965517241379,0.0708208410987764,0.6845238095238095,0.9291791589012236,0.622327674688707,0.174676017005873,0.2037523142420458,0.601899977234229,0.0920806580356597,36,0.8888888888888888,0.2208588957055214,2.1875,0.0,0.8888888888888888
low,42,sensor_509_multivar_labeled,v75_selective_coordinator,141,11698,643,363,0.9216815881666018,0.1798469387755102,0.2797619047619047,0.2189440993788819,0.0521027469410906,0.7202380952380952,0.9478972530589094,0.6138295789104071,0.1846400373122594,0.2042201822712858,0.6037303227208826,0.1457086890555097,36,0.8888888888888888,0.2554744525547445,2.25,0.0,0.8888888888888888
low,42,sensor_509_multivar_labeled,v75_selective_hybrid,159,11467,874,345,0.905099260412612,0.153920619554695,0.3154761904761904,0.2068965517241379,0.0708208410987764,0.6845238095238095,0.9291791589012236,0.622327674688707,0.174676017005873,0.2037523142420458,0.6008009178335733,0.0862314737293957,36,0.8888888888888888,0.2208588957055214,2.1875,0.0,0.8888888888888888
low,42,sensor_510_multivar_labeled,single_agent_rl_refactored,108,8663,730,115,0.9121256239600666,0.1288782816229117,0.484304932735426,0.2035815268614514,0.0777174491642712,0.515695067264574,0.9222825508357289,0.7032937417855774,0.2169645601523543,0.2484631642352905,0.7032937417855774,0.0743756221214265,33,0.0606060606060606,0.0674157303370786,2.5,2.5,0.0606060606060606
low,42,sensor_510_multivar_labeled,or_all,44,8385,1008,179,0.8765599001663894,0.0418250950570342,0.1973094170403587,0.0690196078431372,0.1073139572021718,0.8026905829596412,0.8926860427978281,0.5449977299190935,0.0433939309748665,0.0857940171798573,0.5449977299190933,0.0268672937756072,33,0.9393939393939394,0.1104651162790697,2.3225806451612905,0.0,0.8787878787878788
low,42,sensor_510_multivar_labeled,majority,21,9159,234,202,0.9546589018302828,0.0823529411764705,0.0941704035874439,0.0878661087866108,0.0249121686362184,0.905829596412556,0.9750878313637816,0.5346291174756127,0.0648776035013537,0.0776525943430568,0.5346291174756127,0.0287618652812445,33,0.6363636363636364,0.4883720930232558,0.0,0.0,0.6363636363636364
low,42,sensor_510_multivar_labeled,v73_confidence_hybrid_reference,129,8734,659,94,0.9216930116472546,0.1637055837563451,0.57847533632287,0.2551928783382789,0.0701586287661024,0.42152466367713,0.9298413712338977,0.7541583537783838,0.2789296656240931,0.3059193708359279,0.7590673142245514,0.0898977269172068,33,0.7878787878787878,0.238095238095238,0.2307692307692307,0.0,0.7878787878787878
low,42,sensor_510_multivar_labeled,v75_selective_coordinator,129,8734,659,94,0.9216930116472546,0.1637055837563451,0.57847533632287,0.2551928783382789,0.0701586287661024,0.42152466367713,0.9298413712338977,0.7541583537783838,0.2789296656240931,0.3059193708359279,0.7637678855401814,0.1518019707866472,33,0.7878787878787878,0.238095238095238,0.2307692307692307,0.0,0.7878787878787878
low,42,sensor_510_multivar_labeled,v75_selective_hybrid,129,8734,659,94,0.9216930116472546,0.1637055837563451,0.57847533632287,0.2551928783382789,0.0701586287661024,0.42152466367713,0.9298413712338977,0.7541583537783838,0.2789296656240931,0.3059193708359279,0.7583025046320631,0.0887590596972068,33,0.7878787878787878,0.238095238095238,0.2307692307692307,0.0,0.7878787878787878
